,SERIALNO,RELATE,OC,RC,SEX,SSPA,AGE,QTRBIR,HISPAN,RACEDET,GQTYP
43836,0019575,02,0,0,2,0,75,1,01,02,0
43837,0019576,01,0,0,1,0,69,2,01,01,0
43838,0019576,02,0,0,2,0,68,3,01,01,0
43839,0019577,01,0,0,1,0,41,0,01,47,0
43840,0019577,02,0,0,2,0,40,3,01,47,0
43841,0019577,03,1,1,2,0,14,3,01,47,0
43842,0019577,03,1,1,1,0,9,0,01,47,0
43843,0019578,01,0,0,1,0,52,0,01,01,0
43844,0019578,02,0,0,2,0,50,0,01,01,0
43845,0019579,01,0,0,1,0,34,2,01,01,0
43846,0019580,01,0,0,1,0,69,0,01,02,0
43847,0019581,01,0,0,1,0,41,0,01,01,0
43848,0019582,16,0,0,2,0,93,1,01,01,1
43849,0019583,01,0,0,2,0,25,2,04,02,0
43850,0019583,02,0,0,1,0,34,0,01,02,0
43851,0019583,03,1,1,2,0,4,3,04,02,0
43852,0019584,01,0,0,2,0,22,1,01,74,0
43853,0019585,01,0,0,2,0,41,3,03,01,0
43854,0019585,02,0,0,1,0,43,1,03,01,0
43855,0019585,03,0,0,2,0,19,0,03,01,0
43856,0019585,03,1,1,2,0,13,3,03,01,0
43857,0019586,01,0,0,1,0,72,0,01,01,0
43858,0019586,02,0,0,2,0,62,0,01,01,0
43859,0019587,01,0,0,1,0,68,1,01,01,0
43860,0019587,02,0,0,2,0,66,2,01,01,0
43861,0019588,01,0,0,2,0,43,0,01,40,0
43862,0019588,03,1,1,1,0,16,0,01,40,0
43863,0019589,01,0,0,2,0,63,2,01,02,0
43864,0019589,03,0,0,2,0,27,0,01,02,0
43865,0019590,01,0,0,2,0,64,1,01,02,0
43866,0019590,03,0,0,1,0,47,3,01,02,0
43867,0019590,03,0,0,1,0,44,2,01,02,0
43868,0019591,01,0,0,2,0,39,0,01,02,0
43869,0019592,01,0,0,1,0,64,1,01,01,0
43870,0019592,02,0,0,2,0,38,1,01,01,0
43871,0019592,05,1,1,1,0,16,1,01,74,0
43872,0019592,05,1,1,2,0,12,1,01,74,0
43873,0019592,05,1,1,2,0,11,3,01,74,0
43874,0019593,01,0,0,1,0,46,0,01,01,0
43875,0019593,02,0,0,2,0,50,2,01,01,0
43876,0019594,01,0,0,1,0,54,3,01,02,0
43877,0019594,02,0,0,2,0,55,3,01,02,0
43878,0019594,03,0,0,1,0,30,2,01,02,0
43879,0019594,03,0,0,1,0,21,1,01,02,0
43880,0019595,01,0,0,1,0,55,1,01,01,0
43881,0019596,01,0,0,2,0,52,0,01,02,0
